state,county_id,county_name,icu_beds,population
North Dakota,38069,Pierce,0,4272
Louisiana,22015,Bossier,0,125698
South Carolina,45041,Florence,98,138537
Nebraska,31169,Thayer,0,5133
Illinois,17133,Monroe,0,33739
North Carolina,37083,Halifax,16,52300
Kentucky,21019,Boyd,50,48486
Texas,48295,Lipscomb,0,3495
Nebraska,31021,Burt,0,6546
Texas,48171,Gillespie,10,25939
New York,36051,Livingston,0,64373
Ohio,39157,Tuscarawas,38,92531
Texas,48151,Fisher,0,3875
Indiana,18169,Wabash,0,31848
New York,36101,Steuben,8,97539
Missouri,29049,Clinton,5,20495
New Mexico,35011,De Baca,0,2016
Nebraska,31049,Deuel,0,1901
Maryland,24013,Carroll,10,167319
Kansas,20067,Grant,0,7716
Idaho,16055,Kootenai,55,150128
North Dakota,38087,Slope,0,674
North Dakota,38073,Ransom,0,5411
Virginia,51111,Lunenburg,0,12369
Oklahoma,40059,Harper,0,3843
Missouri,29219,Warren,0,33554
North Carolina,37113,Macon,5,34160
Georgia,13201,Miller,0,5884
Illinois,17091,Kankakee,56,110801
Indiana,18133,Putnam,6,37543
Kansas,20077,Harper,0,5746
Kentucky,21033,Caldwell,0,12747
Nebraska,31145,Red Willow,0,10870
Illinois,17137,Morgan,9,34442
Texas,48499,Wood,0,43315
Texas,48227,Howard,8,36491
Kansas,20171,Scott,0,4981
Missouri,29103,Knox,0,3976
Michigan,26091,Lenawee,0,98585
Nebraska,31109,Lancaster,108,306357
Texas,48163,Frio,0,19110
Iowa,19003,Adams,0,3785
Tennessee,47095,Lake,0,7588
Mississippi,28023,Clarke,0,16089
Oklahoma,40073,Kingfisher,0,15510
Nebraska,31071,Garfield,0,1958
Michigan,26009,Antrim,0,23133
Wisconsin,55097,Portage,12,70371
Tennessee,47167,Tipton,7,61434
Minnesota,27087,Mahnomen,0,5500
Tennessee,47017,Carroll,6,28137
Iowa,19077,Guthrie,0,10664
Tennessee,47133,Overton,6,21995
Virginia,51027,Buchanan,12,22611
Texas,48357,Ochiltree,0,10484
Louisiana,22111,Union,0,22537
Michigan,26045,Eaton,0,108586
Tennessee,47121,Meigs,0,11830
Minnesota,27019,Carver,25,98799
West Virginia,54027,Hampshire,0,23412
Virginia,51007,Amelia,0,12802
Texas,48035,Bosque,0,17955
Montana,30103,Treasure,0,790
Colorado,08035,Douglas,54,320940
Mississippi,28095,Monroe,9,35967
Kansas,20057,Ford,10,34658
Missouri,29025,Caldwell,0,9046
Arkansas,05111,Poinsett,0,24098
Nebraska,31097,Johnson,0,5200
Georgia,13061,Clay,0,3024
Kansas,20043,Doniphan,0,7790
Colorado,08025,Crowley,0,5514
Kansas,20039,Decatur,0,2891
Nebraska,31123,Morrill,0,4903
New Jersey,34011,Cumberland,36,154952
Nebraska,31121,Merrick,0,7829
Kentucky,21183,Ohio,4,24062
New York,36027,Dutchess,51,295685
Pennsylvania,42001,Adams,8,101589
Illinois,17115,Macon,65,107587
Washington,53033,King,450,2118119
West Virginia,54029,Hancock,10,29921
Virginia,51127,New Kent,0,20523
Texas,48437,Swisher,0,7541
Alabama,01105,Perry,0,9680
Virginia,51057,Essex,7,11083
Colorado,08067,La Plata,11,54469
South Dakota,46115,Spink,0,6478
Maryland,24031,Montgomery,150,1039198
Kansas,20065,Graham,0,2561
Utah,49025,Kane,0,7246
Kentucky,21061,Edmonson,0,12063
Ohio,39135,Preble,0,41328
Wyoming,56013,Fremont,12,40354
Pennsylvania,42011,Berks,71,415500
South Dakota,46079,Lake,0,12350
New York,36029,Erie,262,923995
Illinois,17083,Jersey,4,22215
Montana,30031,Gallatin,8,100733
Hawaii,15001,Hawaii,24,196325
Kentucky,21165,Menifee,0,6381
Maryland,24019,Dorchester,0,32386
Illinois,17075,Iroquois,0,28457
Georgia,13315,Wilcox,0,8896
North Carolina,37111,McDowell,9,45069
Michigan,26043,Dickinson,6,25694
Texas,48315,Marion,0,10140
Florida,12127,Volusia,148,518660
Kentucky,21225,Union,0,14915
Texas,48175,Goliad,0,7510
Oklahoma,40145,Wagoner,6,76830
Wisconsin,55041,Forest,0,9035
North Dakota,38061,Mountrail,0,9986
Minnesota,27003,Anoka,35,344861
Colorado,08003,Alamosa,6,16345
West Virginia,54039,Kanawha,156,187827
Pennsylvania,42083,McKean,5,42070
Montana,30017,Custer,4,11895
Virginia,51570,Colonial Heights City,0,17582
Indiana,18015,Carroll,0,19994
Virginia,51177,Spotsylvania,12,130159
Mississippi,28145,Union,8,28202
West Virginia,54057,Mineral,4,27421
Arkansas,05059,Hot Spring,6,33480
Florida,12125,Union,0,15300
Kansas,20031,Coffey,0,8328
Wyoming,56037,Sweetwater,10,44527
Oklahoma,40097,Mayes,0,40929
Mississippi,28061,Jasper,0,16547
Nebraska,31005,Arthur,0,421
New York,36019,Clinton,21,81224
Mississippi,28081,Lee,42,84840
South Carolina,45049,Hampton,6,20066
Minnesota,27131,Rice,4,65251
Montana,30035,Glacier,0,13677
Indiana,18043,Floyd,16,76481
New York,36113,Warren,24,64701
New Jersey,34003,Bergen,147,937920
North Carolina,37193,Wilkes,8,68525
Alabama,01113,Russell,8,58480
Colorado,08119,Teller,0,23769
Texas,48461,Upton,0,3575
Virginia,51760,Richmond City,159,220892
Iowa,19185,Wayne,0,6405
Kentucky,21087,Green,0,11044
South Dakota,46119,Sully,0,1390
Indiana,18121,Parke,0,17062
South Dakota,46075,Jones,0,740
Minnesota,27001,Aitkin,4,15841
Missouri,29223,Wayne,0,13369
Montana,30081,Ravalli,5,41387
Texas,48387,Red River,0,12353
Georgia,13251,Screven,0,14037
